1254,0,54,8.75,198,1
1090,0,54,8.75,198,1
1302,0,54,8.75,198,1
1225,0,54,8.75,198,1
1171,0,54,8.75,198,1
1109,0,54,8.75,198,1
1306,0,54,8.75,198,1
1110,0,54,8.75,198,1
1184,0,54,8.75,198,1
1196,0,54,8.75,198,1
1114,0,54,8.75,198,1
1306,0,54,8.75,198,1
1475,0,54,8.75,198,1
1068,0,54,8.75,198,1
1136,0,54,8.75,198,1
1144,0,54,8.75,198,1
1297,0,54,8.75,198,1
1380,0,54,8.75,198,1
1127,0,54,8.75,198,1
1099,0,54,8.75,198,1
1406,0,54,8.75,198,1
1815,0,54,8.75,198,1
1362,0,54,8.75,198,1
1166,0,54,8.75,198,1
1412,0,54,8.75,198,1
